"rules","support","confidence","lift","count"
"{} => {alcohol}",0.395674300254453,0.395674300254453,1,311
"{} => {frozen}",0.404580152671756,0.404580152671756,1,318
"{} => {deco}",0.455470737913486,0.455470737913486,1,358
"{} => {bakery}",0.428753180661578,0.428753180661578,1,337
"{} => {snack}",0.474554707379135,0.474554707379135,1,373
"{} => {clothes}",0.491094147582697,0.491094147582697,1,386
"{alcohol} => {frozen}",0.23027989821883,0.581993569131833,1.43851240672208,181
"{frozen} => {alcohol}",0.23027989821883,0.569182389937107,1.43851240672208,181
"{alcohol} => {bakery}",0.21501272264631,0.543408360128617,1.26741534439494,169
"{bakery} => {alcohol}",0.21501272264631,0.501483679525223,1.26741534439494,169
"{alcohol} => {snack}",0.220101781170483,0.556270096463023,1.17219382257355,173
"{snack} => {alcohol}",0.220101781170483,0.463806970509383,1.17219382257355,173
"{alcohol} => {clothes}",0.213740458015267,0.540192926045016,1.09997834163571,168
"{clothes} => {alcohol}",0.213740458015267,0.435233160621762,1.09997834163571,168
"{frozen} => {deco}",0.207379134860051,0.512578616352201,1.12538210182355,163
"{deco} => {frozen}",0.207379134860051,0.455307262569832,1.12538210182355,163
"{frozen} => {bakery}",0.221374045801527,0.547169811320755,1.27618834331784,174
"{bakery} => {frozen}",0.221374045801527,0.516320474777448,1.27618834331784,174
"{frozen} => {snack}",0.21501272264631,0.531446540880503,1.11988466791441,169
"{snack} => {frozen}",0.21501272264631,0.453083109919571,1.11988466791441,169
"{frozen} => {clothes}",0.212468193384224,0.525157232704403,1.06936161892658,167
"{clothes} => {frozen}",0.212468193384224,0.432642487046632,1.06936161892658,167
"{deco} => {bakery}",0.227735368956743,0.5,1.16617210682493,179
"{bakery} => {deco}",0.227735368956743,0.531157270029674,1.16617210682493,179
"{deco} => {snack}",0.223918575063613,0.491620111731844,1.03596087887729,176
"{snack} => {deco}",0.223918575063613,0.471849865951743,1.03596087887729,176
"{deco} => {clothes}",0.216284987277354,0.474860335195531,0.966943584102816,170
"{clothes} => {deco}",0.216284987277354,0.440414507772021,0.966943584102816,170
"{bakery} => {snack}",0.232824427480916,0.543026706231454,1.14428683940462,183
"{snack} => {bakery}",0.232824427480916,0.490616621983914,1.14428683940462,183
"{bakery} => {clothes}",0.255725190839695,0.596439169139466,1.2145108470042,201
"{clothes} => {bakery}",0.255725190839695,0.520725388601036,1.2145108470042,201
"{snack} => {clothes}",0.244274809160305,0.514745308310992,1.04816013557627,192
"{clothes} => {snack}",0.244274809160305,0.49740932642487,1.04816013557627,192
